id,source,section,rule,primary,secondary,object,test_id,test_level,test,status,phase,note
I-1,mahoroba_datamodel_v0.2.14.md,13.1 台帳・content,Canonicalエンベロープは追記のみ。UPDATE / DELETEを行わない,SQLite DDL,CanonicalStore API,trg_*_no_update / trg_*_no_delete,INV-I-1,SQL negative,各[C] tableのUPDATE/DELETEがABORTする,VERIFIED,SQL-2,現行監査でappend-only UPDATE拒否を実測
I-2,mahoroba_datamodel_v0.2.14.md,13.1 台帳・content,contentはwrite-once。後から許される変化は明示的消去のみ,SQLite DDL,Erasure Coordinator,trg_blobs_no_update / trg_content_objects_erasure_only,INV-I-2,SQL negative + integration,通常UPDATEを拒否し、present→erasedだけ許可する,VERIFIED,SQL-2/Runtime-7,
I-3,mahoroba_datamodel_v0.2.14.md,13.1 台帳・content,eventは`prev_event_hash / event_hash`による連鎖を持つ,Canonical Writer,verify command / U-4 unique defense,events prev/hash columns,INV-I-3,golden + integration,正しいchainを受理し、prev/hash不一致をWriter/verifyが検出する,SPECIFIED,Runtime-1,
I-4,mahoroba_datamodel_v0.2.14.md,13.1 台帳・content,`seq`はresident内で一意・単調増加・再利用しない。欠番は許容,SQLite DDL,Canonical Writer,"UNIQUE(events.resident_id, events.seq)",INV-I-4,SQL negative + writer property,重複seqをDBが拒否し、writer採番が単調になる,DDL-IMPLEMENTED,SQL-2/Runtime-1,
I-5,mahoroba_datamodel_v0.2.14.md,13.1 台帳・content,content消去は`content_erasure_events`の追記を伴う,Erasure Coordinator,SQLite DDL,content_erasure_events + content update tx,INV-I-5,integration,消去はerasure eventなしでは成立せず、同一UoWで完了する,SPECIFIED,Runtime-7,
I-6,mahoroba_datamodel_v0.2.14.md,13.1 台帳・content,content消去時、commitmentを保持しsaltを破棄する,SQLite DDL + Erasure Coordinator,—,trg_content_objects_erasure_only,INV-I-6,SQL negative + integration,消去後commitment保持・salt/blob_hash NULLを確認する,VERIFIED,SQL-2/Runtime-7,
I-7,mahoroba_datamodel_v0.2.14.md,13.2 claim・evidence,claimはstatement・kind・主体関係・temporal kindを変更しない,SQLite DDL,Canonical Writer,trg_claims_no_update/no_delete,INV-I-7,SQL negative,claim immutable列のUPDATE/DELETEを拒否する,DDL-IMPLEMENTED,SQL-2,
I-8,mahoroba_datamodel_v0.2.14.md,13.2 claim・evidence,すべてのclaimは最低一件のevidenceを持つ,Canonical Writer,—,CreateClaim UoW,INV-I-8,writer negative,evidenceなしclaim作成をcommitしない,RUNTIME-SPEC,Runtime-5,
I-9,mahoroba_datamodel_v0.2.14.md,13.2 claim・evidence,すべてのclaim_evidenceはderivationを問わず、実在するeventをNOT NULLで直接参照する,SQLite DDL,Canonical Writer,claim_evidence.event_id NOT NULL FK,INV-I-9,SQL negative,event_id NULL/不存在を拒否し、inheritedも直接eventを持つ,DDL-IMPLEMENTED,SQL-2,
I-10,mahoroba_datamodel_v0.2.14.md,13.2 claim・evidence,すべてのstage変化は`claim_stage_transitions`を伴う,Canonical Writer,SQLite DDL (verified defense),claim_stage_transitions + uq_claim_stage_transitions_stage,INV-I-10,SQL negative + writer unit,stage変化なし/二重到達を拒否し、正規transitionだけ許可,RUNTIME-SPEC,SQL-2,uq_claim_stage_transitions_stage verified; transition existence/order remains Writer responsibility
