id,area,source,references,required_scope,enforcement,object,test_id,disposition,note
RS-001,Canonical commit,all resident-scoped [C] rows,canonical_commit_id -> canonical_commits.resident_id,derived resident scope must equal commit.resident_id,Canonical Writer,Canonical UoW scope validator,RS-COMMIT-SCOPE,Writer,global [C] rows may use resident_id NULL; bootstrap rows are validated per UoW
RS-002,Resident definition,residents.description_content_id,content_objects.owner_resident_id,content owner = residents.resident_id,SQLite trigger,trg_residents_content_scope,RS-RES-DESCRIPTION,DDL v0.1.2,parent_resident_id is intentionally excluded
RS-003,Resident revision,resident_revisions content/parent/run/reason,"content_objects, resident_revisions, generation_runs",all referenced resident-scoped entities = resident_revisions.resident_id; parent class also equal,SQLite trigger,trg_resident_revisions_resident_scope,RS-REVISION,DDL v0.1.2,
RS-004,Revision approval,resident_revision_approvals.reason_content_id,revision resident + content owner,reason content owner = approved revision resident,SQLite trigger,trg_resident_revision_approvals_resident_scope,RS-REV-APPROVAL,DDL v0.1.2,approver principal may be external human
RS-005,Revision activation,resident_revision_activations revision/approval/reason,"resident_revisions, approvals, content_objects",revision resident = activation resident; approval is for same revision; reason content same resident,SQLite trigger,trg_resident_revision_activations_resident_scope,RS-REV-ACTIVATION,DDL v0.1.2,actor principal is intentionally not scoped
RS-006,Resident lifecycle,resident_status_transitions.reason_content_id,content_objects.owner_resident_id,reason content owner = transition resident,SQLite trigger,trg_resident_status_transitions_resident_scope,RS-RES-STATUS,DDL v0.1.2,
RS-007,Blob/content,content_objects -> blobs,owner_resident_id/dedupe_scope_id composite FK,blob dedupe scope = content owner,SQLite composite FK,"content_objects(owner_resident_id,algorithm,hash) -> blobs",RS-CONTENT-BLOB,already enforced,
RS-008,Erasure,content_erasure_events reason/source,"content_objects, content_erasure_events",reason and source erasure content owners = target content owner,SQLite trigger,trg_content_erasure_events_resident_scope,RS-ERASURE,DDL v0.1.2,actor principal may be owner human
RS-009,Recall,recall_runs policy/query content,"resident_revisions, content_objects",memory policy resident and query content owner = recall resident,SQLite trigger,trg_recall_runs_resident_scope,RS-RECALL,DDL v0.1.2,also validates revision_class=memory_policy
RS-010,Generation envelope,generation_runs revisions/recall,"resident_revisions, recall_runs",principles/persona/memory policy and recall run = generation resident,SQLite trigger,trg_generation_runs_resident_scope,RS-GEN-RUN,DDL v0.1.2,also validates revision classes
